company_id,linkedin_url,first_name,last_name
70efd4f0-d8be-486b-b435-d389a6568e53,,,
f589d4e7-5bec-461a-a702-a9821ba820ca,,,
590bc855-86cd-4cec-88dd-cd272bb876a4,,,
53cd1f59-183d-4be5-aafe-d9bf2ad1eeb5,,2017-01-01,
445b193f-2213-49e4-8e90-84d7ae2534e1,,,
7e9f1712-9580-4b8f-936c-b08a18477724,,,
4767fa03-c7b1-4285-b0b0-92afa0c791ed,,,
8a01cbda-2c6d-4107-a5e5-579db0d4ca63,,,
e5b6c9c9-ac02-4c01-9302-fc11b294e8bf,,,
522f2843-62c4-41df-bfd2-c334f842b370,,,
a4d75813-0196-4532-af5d-4962b54b44d9,,,
16d5dc7a-b167-4845-a3be-bd3f1281ad9e,,Non,disponible
d2a0d531-3ebf-4943-9ea9-5967e78e1df9,,,
c8baf4f5-a22f-4e22-ac89-edb97b440f73,,,
454ede8f-39a4-4715-a60f-d9dd03db1150,,,
f85bd01f-4812-41b7-b511-560de2fc0b56,,,
c0e67459-3fd7-4959-a92f-f1067ebd046c,,,
135ae93b-dd8f-44eb-9eef-75aa0ac9eb4a,,,
278e05b0-6a33-4e3a-9c78-4c4fabec808f,,,
68fa208b-59c6-49d3-ae00-e3c5af38576f,"17-19 Rue Michel-le-Comte, Paris",Non,disponible
667975c1-f381-4d14-bfe3-083e145720d4,,,
4bf89f7a-464c-41c9-8347-0b6af76f0986,,,
94272632-3035-4352-9b91-d4a8dfd4a26a,,,
a83b4394-cb38-48b8-9f24-60a362d657ba,,,
5c22cc92-b5a9-4cae-823e-68bf59e187cc,,,
70f1443f-f015-49f8-bc45-de39ae434292,,,
230579d6-4c10-4500-8a68-7915fe99b329,,,
5c1f3eb3-70bb-4545-b5df-73ffbf13bec0,,Non,disponible
135c92cf-171a-415c-8226-bb87632203fb,,,
b55963f0-63e1-4952-99de-2aa7eca3e5cc,https://www.linkedin.com/company/11121102,,
4645c7e5-c677-4833-9c6c-ef7f0fa2ac8e,,,
3cea44bd-25aa-4ac1-a2f2-65e06f346f10,,,
2a3b61d1-b064-4269-8466-a65bf4d143b4,,,
d7c89c78-dd56-4895-afeb-4c444c8fece5,,,
f7626f4b-d0e7-433b-a504-03e818efd029,,,
bcfae59d-5afa-4216-a8eb-bf522dcac93a,,,
44775126-beee-4846-ba25-08cf75a58896,,,
6497c773-f1b8-4be3-abc6-a34b097346cc,,,
986cc855-21db-4332-b757-d1b3b454dd82,,,
6a79138f-5371-4335-871a-47fc6dfb2920,,,
e29d35f1-8589-4af6-a992-3f850416899c,"""2 Rue des Murailles",,
9056fff2-8ea8-4b27-8a4d-edc7c3d65515,,,
f3052615-1f58-488e-8677-c4e548d31fbd,,,
0bc3e3d3-e8bb-4146-a070-56df566553fb,,,
b3a5c035-c062-4d3c-b129-3bed2a454421,,,
b34c144b-eb07-4f1a-b57c-5923e88e07b9,,,
3e27a395-5e60-48c9-8f00-789ef3f3a3e0,,,
