nom,SIREN,Date de création,Denomination légale,Denomination usuelle,Activité principale,Tranche effectifs,Catégorie entreprise,État administratif
ADDUP,819409939,2016-04-01,ADDUP,Non disponible,71.12B,32,GE,Non disponible
ADEBEO,520037516,2010-01-28,ADEBEO,Non disponible,58.29C,03,PME,Non disponible
ADECCO,327336012,1983-05-17,ADECCO OUTSOURCING,Non disponible,70.22Z,22,GE,Non disponible
ADEME XD MOBILITÉ,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADEMTECH,430421065,2000-04-03,ADEMTECH,Non disponible,20.59Z,12,PME,Non disponible
ADEQUA,519096390,2010-01-04,ADEQUA,ADEQUA,43.29A,Non disponible,Non disponible,Non disponible
ADEUNIS,430190496,2000-03-08,ADEUNIS,Non disponible,26.30Z,12,PME,Non disponible
ADGS,508902228,2008-11-01,ADGS,Non disponible,68.20B,Non disponible,PME,Non disponible
ADICTIZ,504614892,2008-06-08,ADICTIZ,Non disponible,58.21Z,12,ETI,Non disponible
ADIKTEEV,789514619,2012-11-22,ADIKTEEV,Non disponible,62.02A,21,PME,Non disponible
ADISON,409071941,1996-10-01,ADISON,ADISON,62.01Z,01,PME,Non disponible
ADISTA,323159715,1981-10-29,ADISTA,ADISTA,61.10Z,41,ETI,Non disponible
ADLEDGE,505291831,2008-07-01,ADLEDGE,Non disponible,62.01Z,Non disponible,Non disponible,Non disponible
ADLOOP,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADMIR,919569947,2022-09-21,ADMIR,Non disponible,26.11Z,02,PME,Non disponible
ADMO.TV,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADOBIS GROUP,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADOK,819671322,2016-04-02,ADOK,Non disponible,74.90B,02,PME,Non disponible
ADOMIK,753702661,2012-09-04,ADOMIK,Non disponible,82.99Z,12,PME,Non disponible
ADORIA,482761269,2005-06-01,ADORIA,Non disponible,68.20B,Non disponible,PME,Non disponible
ADOT,882496540,2020-03-15,ADOT,Non disponible,68.20A,Non disponible,Non disponible,Non disponible
ADOTMOB,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADQUANTIC,524834850,2010-09-01,ADQUANTIC,Non disponible,62.01Z,Non disponible,Non disponible,Non disponible
ADS ON BOARD,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADVALO,797851516,2013-10-10,ADVALO,Non disponible,62.01Z,12,ETI,Non disponible
ADVANCED ACCELERATOR APPLICATIONS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADVANCED AERODYNAMIC VESSELS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
"ADVANCED MAGNETIC INTERACTION, AMI",Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADVANCED PERFUSION DIAGNOSTICS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADVEEZ,532866563,2011-05-31,ADVEEZ,Non disponible,26.30Z,12,PME,Non disponible
ADVENS,347771974,1988-08-01,ADVENS,Non disponible,46.11Z,12,ETI,Non disponible
ADVENTORI,518634027,2009-11-01,ADVENTORI,ADVENTORI,62.01Z,12,PME,Non disponible
ADVERUM BIOTECHNOLOGIES,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADVICENNE PHARMA,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADVIZEO BY SETEC,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ADWAYS,523895688,2010-07-15,ADWAYS,Non disponible,62.01Z,03,ETI,Non disponible
AEDVICES,750838443,2012-04-02,AEDVICES CONSULTING,Non disponible,70.22Z,11,PME,Non disponible
AEM MU-TEST,344223383,1988-04-01,TEST,Non disponible,46.43Z,Non disponible,PME,Non disponible
AEONX AI,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AERIAL COBOTICUS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AERLEUM,951995570,2023-04-17,AERLEUM,Non disponible,72.11Z,Non disponible,Non disponible,Non disponible
AEROBAY,803219518,2014-05-02,AEROBAY,Non disponible,71.12B,03,PME,Non disponible
AERONDE,917949927,2022-07-28,AERONDE,Non disponible,30.30Z,Non disponible,PME,Non disponible
AEROSPACE VALLEY,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AF83,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AFELIM,534247770,2011-07-07,AFELIM,Non disponible,94.99Z,Non disponible,Non disponible,Non disponible
AFFILAE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AFTERDATA,837707652,2018-02-14,AFTERDATA,Non disponible,62.02A,11,PME,Non disponible
AFULUDINE,821771524,2016-07-21,AFULUDINE,Non disponible,20.59Z,03,PME,Non disponible
AFYREN,819743527,2016-04-07,AFYREN INVESTMENT,Non disponible,64.20Z,Non disponible,PME,Non disponible
AGE IMPULSE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AGENCE ZOL,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AGENDIZE,449162403,2003-07-01,AGENDIZE,Non disponible,58.29C,12,PME,Non disponible
AGFAPHOTO,479322489,2004-10-29,AGFAPHOTO SOLUTIONS,AGFAPHOTO FINANCE,47.19B,Non disponible,Non disponible,Non disponible
AGICAP,823248703,2016-10-13,AGICAP,Non disponible,58.29C,32,ETI,Non disponible
AGIGA,851877134,2019-07-01,AGIGA,Non disponible,82.99Z,01,PME,Non disponible
AGIGA PLACE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AGIL TECHNOLOGIES,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AGILEO AUTOMATION,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AGLAE,349271429,1989-01-01,AGLAE,Non disponible,47.71Z,Non disponible,PME,Non disponible
AGORA CALYCÉ,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AGORA OPINION | TAQT,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AGORA SOFTWARE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AGORAPLUS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AGORIZE,530774439,2011-02-14,AGORIZE,Non disponible,63.12Z,12,PME,Non disponible
AGREENCULTURE,818791840,2016-03-01,AGREENCULTURE,Non disponible,71.12B,21,PME,Non disponible
AGRICONNECT,822127700,2016-08-11,AGRICONNECT,Non disponible,63.11Z,02,PME,Non disponible
AGRICONOMIE,981482235,2023-10-09,AGRICONOMIE,Non disponible,01.61Z,Non disponible,Non disponible,Non disponible
AGRICOOL,813538691,2015-09-09,AGRICOOL,Non disponible,71.12B,01,PME,Non disponible
AGRIFIND GROUP,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AGRILOOPS,840062947,2018-05-31,SOWEFUNDED AGRILOOPS,Non disponible,66.30Z,Non disponible,PME,Non disponible
AGRIPOLIS,822557427,2016-08-12,AGRIPOLIS ORGANICS,Non disponible,81.30Z,02,PME,Non disponible
AGRISCOPE,502824444,2008-01-17,AGRISCOPE,Non disponible,74.90B,01,PME,Non disponible
AGRITHERMIC,751614967,2012-05-07,AGRITHERMIC,Non disponible,72.19Z,02,PME,Non disponible
AGROVE,435303847,2001-04-01,AGROVE,Non disponible,85.1C,Non disponible,Non disponible,Non disponible
AGYLA,794592881,2013-07-17,AGYLA,Non disponible,62.02A,21,PME,Non disponible
AHEAD TECHNOLOGY,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AIA HANDICAP,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AII – AUTOMATISME ET INFORMATIQUE INDUSTRIELLE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AIMAIRA,812751691,2015-07-24,AIMAIRA,Non disponible,62.02A,12,PME,Non disponible
AIOTRUST,981529993,2023-11-13,AIOTRUST,Non disponible,62.01Z,Non disponible,Non disponible,Non disponible
AIPHONIA,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AIR LIQUIDE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AIR SERENITY,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AIRBUS CYBERSECURITY,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AIRCALL,807437595,2014-10-14,AIRCALL,Non disponible,62.01Z,32,ETI,Non disponible
AIRCAPTIF,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AIRNODES,820181279,2016-05-01,AIRNODES,Non disponible,71.12B,00,PME,Non disponible
AIRSAAS,893294991,2021-01-18,AIRSAAS,Non disponible,62.01Z,NN,PME,Non disponible
AIRSEAS,822983052,2016-10-06,AIRSEAS,Non disponible,13.92Z,21,PME,Non disponible
AIRUDIT,792176885,2013-03-15,AIRUDIT,Non disponible,58.29A,12,PME,Non disponible
AIS BIOTECH,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AISPRID,882759079,2020-04-01,AISPRID,Non disponible,71.12B,11,PME,Non disponible
AITENDERS,844748251,2019-01-02,AITENDERS,Non disponible,58.29C,12,PME,Non disponible
AJ INVEST & CONSULTING,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AJR MULTI SERVICES,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AKANTHAS,898606744,2021-04-26,AKANTHAS,Non disponible,58.29C,02,PME,Non disponible
AKENEO,790672588,2013-01-18,AKENEO,Non disponible,58.29C,31,PME,Non disponible
AKIDAIA,890597511,2020-11-02,AKIDAIA,Non disponible,62.01Z,03,PME,Non disponible
AKIO,421001702,1998-12-01,AKIO,AKIO  -  AKIO SOLUTIONS  -  AKIO SOFTWARE,58.29C,21,PME,Non disponible
AKOUSTIC-ARTS,522977180,2010-05-07,AKOUSTIC ARTS,Non disponible,72.19Z,11,PME,Non disponible
AKRYVIA,832818470,2017-10-20,AKRYVIA,Non disponible,70.22Z,01,PME,Non disponible
AKUOCOOP,822675005,2016-09-20,AKUOCOOP,Non disponible,62.01Z,01,ETI,Non disponible
AKUR8,841204720,2018-07-17,AKUR8,Non disponible,62.01Z,21,PME,Non disponible
ALAN,381702828,1991-04-01,ALAN,Non disponible,68.31Z,Non disponible,Non disponible,Non disponible
ALANCIENNE,823522818,2016-10-10,ALANCIENNE,Non disponible,47.91B,11,PME,Non disponible
ALBERTINE EN CONSIGNE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALBUS FACTORY,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALCMEON,533635652,2011-06-24,ALCMEON,Non disponible,62.01Z,12,PME,Non disponible
ALDERYS,524079795,2010-08-01,ALDERYS,Non disponible,72.19Z,12,ETI,Non disponible
ALEDIA,907703839,2021-07-15,ALEDIA,Non disponible,64.30Z,Non disponible,PME,Non disponible
ALENATEC,512410440,2009-04-27,ALENATEC,ALENATEC,62.02A,Non disponible,PME,Non disponible
ALENTIS THERAPEUTICS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALENTY,493981443,2007-01-02,ALENTY,Non disponible,62.02A,00,PME,Non disponible
ALEOU,431925031,2000-06-15,ALEOU,Non disponible,82.30Z,12,PME,Non disponible
ALEPH-NETWORKS,749906525,2012-02-09,ALEPH-NETWORKS,Non disponible,58.29C,11,PME,Non disponible
ALERION,493091631,2006-11-24,ALERION,Non disponible,62.02A,Non disponible,PME,Non disponible
ALERTGASOIL™,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALETIQ,878022961,2019-10-10,ALETIQ,Non disponible,62.01Z,11,PME,Non disponible
ALFRED MEETING,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALGAIA,478080146,2004-08-01,ALGAIA,Non disponible,10.20Z,21,PME,Non disponible
ALGAMA,798666806,2013-11-20,ALGAMA,Non disponible,72.19Z,12,PME,Non disponible
ALGO PAINT,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALGODEEP,833615594,2017-11-27,ALGODEEP,Non disponible,62.01Z,Non disponible,Non disponible,Non disponible
ALGODONE,810517037,2015-03-09,ALGODONE,Non disponible,62.01Z,00,PME,Non disponible
ALGOLIA,788680858,2012-10-08,ALGOLIA,Non disponible,46.51Z,32,PME,Non disponible
ALGOO,810295683,2015-02-19,ALGOO,Non disponible,58.29C,11,PME,Non disponible
ALGOS,949481972,2023-02-10,ALGOS,Non disponible,68.20B,Non disponible,Non disponible,Non disponible
ALGOSECURE,504139981,2008-05-07,ALGOSECURE,ALGOSECURE,62.02A,12,PME,Non disponible
ALGOTHERAPEUTIX,839726783,2018-04-30,ALGOTHERAPEUTIX,Non disponible,72.19Z,02,PME,Non disponible
ALIBABA.COM,880693544,2020-01-01,ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,Non disponible,63.12Z,Non disponible,PME,Non disponible
ALINTO,429242738,2000-01-12,ALINTO,Non disponible,63.11Z,11,PME,Non disponible
ALKEMICS,535078190,2011-09-23,ALKEMICS,Non disponible,58.29C,22,PME,Non disponible
ALKION BIOPHARMA,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALL VIRTUAL,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALLERGEN ALERT,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALLIMAND,061502274,1961-01-01,ALLIMAND,Non disponible,28.95Z,22,PME,Non disponible
ALLISTIC,842488561,2018-09-01,ALLISTIC,Non disponible,62.02A,11,PME,Non disponible
ALLO-MEDIA,531163210,2011-03-07,GROUPE ALLO-MEDIA,Non disponible,63.11Z,12,PME,Non disponible
ALLOCAB,532050747,2011-04-18,ALLOCAB,Non disponible,82.20Z,11,PME,Non disponible
ALLOHOUSTON,822170007,2016-08-05,ALLOHOUSTON,Non disponible,62.01Z,02,PME,Non disponible
ALLOVOISINS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALLPRIV,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALLTRACKS ENGINEERING,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALLUMEE,883164006,2020-05-01,ALLUMEE,Non disponible,90.03B,02,PME,Non disponible
ALLURE SYSTEMS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALMA,910871581,2021-08-06,ALMA ALMA,Non disponible,90.01Z,Non disponible,Non disponible,Non disponible
ALMB GROUP,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALP VALLEY,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALPES RECRUTEMENT,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALPHA FLORA,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALPHA MOS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALPHA-3I,405213760,1996-05-03,ALPHA-3I,Non disponible,62.02A,21,PME,Non disponible
ALPHACAT,429810401,2000-03-15,ALPHACAT,Non disponible,51.8G,Non disponible,Non disponible,Non disponible
ALPHALYR,799351879,2013-11-01,ALPHALYR DIGITAL,Non disponible,66.30Z,11,PME,Non disponible
ALPHI,339181059,1986-10-01,ALPHI,Non disponible,58.12,Non disponible,Non disponible,Non disponible
ALPINOV X,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ALPOLISH,892357641,2020-11-26,ALPOLISH,Non disponible,71.12B,01,PME,Non disponible
ALPVENGERS,914986476,2022-06-27,ALPVENGERS,Non disponible,47.91B,Non disponible,PME,Non disponible
ALSID,820862340,2016-06-30,ALSID,Non disponible,58.29A,21,PME,Non disponible
ALT-G PROTEIN,843397803,2017-06-19,ALT-,Non disponible,94.99Z,01,PME,Non disponible
