title,description,address,logo_url,url
IVES,Solution alliant digital et humain pour rendre l'accompagnement à la création d'entreprise accessible à TOUS et sur tous les territoires.,"13 Rue la Pérouse, Nantes",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-01_2.png,https://lespepitestech.com/startup-de-la-french-tech/ives
WEEPO,Le portage Salarial 100 % Digital - L'avantage de l'indépendance lié au confort du salariat.,"22 Rue de la Pépinière, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/weepo_logo.jpg,https://lespepitestech.com/startup-de-la-french-tech/weepo
NÉNUFARM,"NENUFARM développe des écosystèmes innovants axés autour du cycle de l'eau. Symbiose entre vie végétale et animale, l'Aquarium Potager de Nénufarm offre un nouvel usage de l'aquarium.","27 Rue d'Aubuisson, Toulouse",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_couleur_-_ecriture_noire.png,https://lespepitestech.com/startup-de-la-french-tech/nenufarm
MIIST 🌳🛵🚲🚀,"Miist révolutionne la logistique urbaine Zéro Emissions. Présente sur 3 pays et prochainement sur L'Angleterre, Miist offre des solutions agiles de livraisons basées sur la #greentech et des solutions logicielles innovantes pour les grands groupes.","66 Avenue des Champs-Élysées, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_miist.png,https://lespepitestech.com/startup-de-la-french-tech/miist
D'OR ET DE VINS,"La nouvelle plateforme de conseil, vente et livraison de vins d'exception à domicile","15 Rue de Milan, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_vins_5.png,https://lespepitestech.com/startup-de-la-french-tech/dor-et-de-vins
CUVÉE PRIVÉE,Adoptez des vignes chez un vigneron d'exception et recevez votre propre cuvée,136 BOULEVARD DE L HOPITAL Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_def_cv_stacked_v2.png,https://lespepitestech.com/startup-de-la-french-tech/cuvee-privee
IPAIDTHAT,"Grâce à une technologie innovante, iPaidThat récupère l’ensemble de vos factures et pièces comptables depuis vos boites mails, vos sites fournisseurs ou via une photo depuis votre smartphone et les saisis dans un espace dédié sur l’outil.","198 Avenue de France, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-badge-header.png,https://lespepitestech.com/startup-de-la-french-tech/ipaidthat
PANODYSSEY,Panodyssey est le 1er réseau social responsable pour les créateurs de contenus indépendants. La plateforme redonne le pouvoir aux créateurs en leur offrant une solution No Code simple et intuitive pour créer et partager leurs passions en toute liberté..,"10 rue Bapst, 92600 Asnières-sur-seine",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/group_27.png,https://lespepitestech.com/startup-de-la-french-tech/panodyssey
BOBBEE,L’outil tout-en-un créé par des experts-comptables pour rassembler cabinets et entreprises,"14 Rue des Jeuneurs, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/bobbee_logo_03_rvb_plan_de_travail_1_copie_2_0.jpg,https://lespepitestech.com/startup-de-la-french-tech/bobbee
KILLBILLS,"Validez, payez et recevez votre ticket de caisse digital de manière instantanée dans votre espace bancaire grâce au service KillBills.","9 Rue du 4 septembre, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/linkedin_logo4x.jpg,https://lespepitestech.com/startup-de-la-french-tech/killbills
FROGMASK,"Masques anti-pollution chics, fabriqués en France et équipés de filtres FFP2 pour le vélo et la moto",15 Ter rue Ernest Cognacq,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-frogmask-cocarde-couleur-rondblanc.png,https://lespepitestech.com/startup-de-la-french-tech/frogmask
REBORN,La première plateforme d'achat et vente de meuble d'occasion en vidéo.,"12 Rue Etienne Marcel, Pantin",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/plan_de_travail_1_3.png,https://lespepitestech.com/startup-de-la-french-tech/reborn
MEMOIRE-RED,"Mémoire-Red Cognitive and Social Programme, ""Medico-social establishments and services The objective ""Prevention of loss of autonomy & Ageing well"". For our seniors and our elders.""Research & Development, Publishing... .","Innoparc 32ème rue, 6 Rue Roger Salengro, Auch",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_memoire-red_1.jpg,https://lespepitestech.com/startup-de-la-french-tech/memoire-red
DOMMARKET,La marketplace qui connecte les vendeurs européens aux consommateurs des DOM-TOM.,"9 Rue Jacquard, Le Pré-Saint-Gervais",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/dommarket-logo.png,https://lespepitestech.com/startup-de-la-french-tech/dommarket
SUMA,Gestion du développement durable pour les entreprises Tech et du Web3,"930 Route des Dolines, Valbonne",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/suma_logo_square_brown.png,https://lespepitestech.com/startup-de-la-french-tech/suma
FRENCH BETTING SCHOOL,La première école du pari sportif : Valoriser le parieur au cœur de l'écosystème grâce à une plateforme 3.0,"4 Rue de la République, 69001 Lyon",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/131942389_210397287245603_7546289210028948172_n_1.png,https://lespepitestech.com/startup-de-la-french-tech/french-betting-school
VENTE SOLIDAIRE,L'outil idéal qui facilite l'organisation des ventes pour associations,"40 Rue Alexandre Dumas, 75011 Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-carre-300-300_0.jpg,https://lespepitestech.com/startup-de-la-french-tech/vente-solidaire
VIZAPP,Vizapp est la plateforme sociale qui permet de sécuriser tous vos achats d'occasion ainsi que de rentabiliser votre temps libre et vos compétences.,Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/vizapp_icon_-_light.png,https://lespepitestech.com/startup-de-la-french-tech/vizapp
PANDALOC,"Pandaloc est la plateforme qui simplifie et pacifie la location immobilière. Les propriétaires qui gèrent leurs biens immobiliers avec Pandaloc ont plus de temps et moins de stress. Publiez vos locations, examinez les locataires et encaissez les loyers.","10 Rue de la Paix, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/untitled_7.png,https://lespepitestech.com/startup-de-la-french-tech/pandaloc
KIDLOU,Application de location de matériel de puériculture entre particuliers,Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/22-06-23_-_kidlou_-_logo_1_page-0001_1.jpg,https://lespepitestech.com/startup-de-la-french-tech/kidlou
BUNJI,Le premier service permettant aux pro de l'immobilier d'identifier les vendeurs d'appartements dans leur portefeuille,"STATION F, Parvis Alan Turing, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_grand.jpg,https://lespepitestech.com/startup-de-la-french-tech/bunji
SOPHT,Sopht est une plateforme qui permet aux organisations IT de piloter de manière dynamique leur empreinte environnementale et d’automatiser leur trajectoire de décarbonation.,"24 Boulevard Eugène Réguillon, Villeurbanne",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/sopht_logo_noir_1_0.png,https://lespepitestech.com/startup-de-la-french-tech/sopht
VINS FRANCS,Le contact d'un caviste de proximité...en ligne,"La Brousse, Saint-Germain-du-Corbeïs",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/vins_francs_logo_1_0.png,https://lespepitestech.com/startup-de-la-french-tech/vins-francs
PANDACOLA,"Pandacola est la première plateforme B2B 100% dédiée à l'objet personnalisé. Quelques clics suffisent pour accueillir, habiller, remercier, activer, surprendre, fidéliser ou fêter... Avec l'objet personnalisé !","Biocluster Les Haras, Rue des Glacières, Strasbourg",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/rond-fond.jpg,https://lespepitestech.com/startup-de-la-french-tech/pandacola
WEDRIVIT,Véritable ‘Airbnb’ de la voiture ancienne.,"51 Quai Lawton, Bordeaux",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/wedrivit-icone_au_dessus_1.png,https://lespepitestech.com/startup-de-la-french-tech/wedrivit
COMONGO,Nous avons créé la première application SaaS d'audit qualitatif des communications d'entreprise,Grenoble,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/comongo_rvb_yt.png,https://lespepitestech.com/startup-de-la-french-tech/comongo-0
ONLYONE,Le premier compte à impact positif,"Paris 2, 75002 Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/onlyone_logo_gradient_greenblue.png,https://lespepitestech.com/startup-de-la-french-tech/onlyone
ART4DESIGN,"Art4Design réunit une sélection d'artistes, d'art plastique, art urbain, photographie, invités à donner une nouvelle vie au mobilier des particuliers, mais aussi pour des hôtels, des bars.",3 rue Redon,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/redo2_2.png,https://lespepitestech.com/startup-de-la-french-tech/art4design
